I, [2014-03-21T19:00:18.585966 #19957]  INFO -- : listening on addr=0.0.0.0:8080 fd=10
I, [2014-03-21T19:00:18.586375 #19957]  INFO -- : worker=0 spawning...
I, [2014-03-21T19:00:18.587298 #19957]  INFO -- : master process ready
I, [2014-03-21T19:00:18.588512 #19958]  INFO -- : worker=0 spawned pid=19958
I, [2014-03-21T19:00:18.589216 #19958]  INFO -- : Refreshing Gem list
I, [2014-03-21T19:00:19.186601 #19958]  INFO -- : worker=0 ready
127.0.0.1 - - [21/Mar/2014 19:01:55] "GET /img/blank.png HTTP/1.1" 304 - 0.0023
127.0.0.1 - - [21/Mar/2014 19:01:55] "GET /img/ess.jpg HTTP/1.1" 304 - 0.0012
127.0.0.1 - - [21/Mar/2014 19:01:55] "GET /img/hird-overview.jpg HTTP/1.1" 200 59573 0.0142
127.0.0.1 - - [21/Mar/2014 19:01:55] "GET /img/whatever.jpg HTTP/1.1" 304 - 0.0014
127.0.0.1 - - [21/Mar/2014 19:01:55] "GET /img/org_struct.png HTTP/1.1" 304 - 0.0013
127.0.0.1 - - [21/Mar/2014 19:01:55] "GET /img/pre-wall.jpg HTTP/1.1" 304 - 0.0015
127.0.0.1 - - [21/Mar/2014 19:01:55] "GET /img/wall.jpg HTTP/1.1" 304 - 0.0013
127.0.0.1 - - [21/Mar/2014 19:04:27] "GET / HTTP/1.1" 200 3205 0.0105
127.0.0.1 - - [21/Mar/2014 19:04:27] "GET /css/bootstrap.css HTTP/1.1" 304 - 0.0050
127.0.0.1 - - [21/Mar/2014 19:04:27] "GET /css/font-awesome.css HTTP/1.1" 304 - 0.0009
127.0.0.1 - - [21/Mar/2014 19:04:27] "GET /css/slider.css HTTP/1.1" 304 - 0.0022
127.0.0.1 - - [21/Mar/2014 19:04:27] "GET /css/styles.css HTTP/1.1" 304 - 0.0017
127.0.0.1 - - [21/Mar/2014 19:04:27] "GET /css/owl.carousel.css HTTP/1.1" 304 - 0.0013
127.0.0.1 - - [21/Mar/2014 19:04:27] "GET /css/owl.theme.css HTTP/1.1" 304 - 0.0012
